weather_forecast,location,email,social_media,flyers_distributed,others,rating,attendance
Rain,Stadium,664,986,541,16,5,2276
Sunny,Arena,11,518,646,321,2,11701
Sunny,Theater,132,69,578,517,9,3004
Rain,Convention Center,993,638,64,569,6,2543
Clear,Arena,303,398,291,324,3,12178
Sunny,Convention Center,292,977,24,411,7,2649
Storm,Park,974,671,548,317,9,3383
Storm,Theater,299,759,0,680,3,1691
Extreme Heat,Arena,739,202,910,964,2,1605
Storm,Arena,782,147,548,81,7,2611
Extreme Heat,Arena,42,471,140,473,7,2497
Clear,Arena,943,654,743,467,4,27873
Rain,Arena,342,943,647,424,9,3335
Rain,Convention Center,325,198,900,944,8,3081
Rain,Theater,813,916,187,730,1,1317
Storm,Park,497,425,127,688,1,1208
Clear,Park,363,665,200,203,5,16868
Storm,Park,890,491,126,582,6,2501
Storm,Park,426,887,256,386,3,1728
Clear,Convention Center,20,895,675,777,9,3338
Clear,Stadium,406,141,546,97,10,22292
Clear,Theater,618,312,193,344,6,2352
Clear,Arena,335,164,702,802,4,20348
Rain,Stadium,814,313,103,207,7,2579
Partly Cloudy,Park,116,20,534,513,8,19009
Partly Cloudy,Stadium,123,81,264,635,9,19376
Clear,Theater,398,580,801,791,6,2616
Partly Cloudy,Arena,792,130,941,585,6,30641
Partly Cloudy,Arena,803,598,973,165,8,38047
Clear,Theater,714,729,383,21,5,2198
Partly Cloudy,Theater,50,932,259,153,3,1634
Storm,Park,782,983,413,938,3,1923
Extreme Heat,Arena,323,304,990,438,6,2493
Extreme Heat,Stadium,788,914,357,294,2,1538
Clear,Convention Center,140,370,74,218,6,2192
Rain,Convention Center,469,856,354,668,6,2563
Clear,Theater,786,852,583,494,8,3181
Rain,Park,801,383,770,229,7,2776
Extreme Heat,Convention Center,333,907,909,19,8,3024
Clear,Arena,892,444,187,986,9,40761
Sunny,Theater,963,424,972,552,6,2698
Storm,Stadium,372,160,684,949,3,1763
Partly Cloudy,Theater,563,177,991,147,10,3431
Rain,Stadium,493,628,289,107,3,1654
Sunny,Theater,538,707,44,402,1,1202
Partly Cloudy,Theater,668,894,572,595,5,2389
Partly Cloudy,Theater,750,489,82,482,4,1946
Clear,Stadium,155,326,122,366,9,17338
Partly Cloudy,Stadium,290,597,357,833,9,34191
Storm,Theater,647,288,527,413,5,2205
Sunny,Convention Center,143,592,65,308,10,3172
Partly Cloudy,Park,105,663,935,801,4,25037
Clear,Park,419,572,656,917,7,35198
Storm,Park,669,572,374,834,6,2587
Extreme Heat,Stadium,657,353,161,133,4,1850
Sunny,Stadium,1,27,745,718,10,27222
Partly Cloudy,Convention Center,944,953,379,282,2,1568
Clear,Park,588,42,655,777,1,13062
Extreme Heat,Park,643,680,357,72,4,1936
Extreme Heat,Theater,89,422,187,480,4,1826
Rain,Stadium,344,597,321,351,1,1193
Storm,Park,349,176,449,559,6,2367
Partly Cloudy,Convention Center,458,528,473,325,4,1942
Clear,Convention Center,262,609,12,744,1,1195
Rain,Park,350,965,183,442,1,1232
Storm,Stadium,107,493,110,99,1,1097
Rain,Convention Center,585,197,926,58,8,2908
Sunny,Theater,38,609,507,507,10,3358
Storm,Convention Center,908,576,289,257,8,2984
Storm,Arena,158,841,294,412,2,1445
Partly Cloudy,Arena,582,852,450,451,7,32251
Storm,Stadium,958,516,903,64,8,3103
Rain,Park,311,513,214,594,8,2870
Storm,Stadium,240,21,973,153,10,3266
Partly Cloudy,Stadium,937,111,631,984,7,36472
Partly Cloudy,Stadium,444,56,893,265,5,19258
Sunny,Stadium,297,65,566,820,1,11225
Rain,Theater,951,841,26,78,9,3191
Extreme Heat,Theater,35,97,629,314,7,2483
Extreme Heat,Convention Center,83,143,732,661,2,1433
Storm,Arena,451,879,230,946,6,2601
Sunny,Stadium,885,434,564,559,2,18342
Clear,Convention Center,774,636,806,916,1,1375
Storm,Arena,821,678,320,890,7,2915
Sunny,Park,384,85,912,247,2,12628
Rain,Theater,171,587,232,789,2,1456
Rain,Arena,375,343,669,867,5,2286
Rain,Park,684,935,436,609,5,2375
Rain,Arena,361,293,780,413,7,2687
Rain,Theater,558,955,532,24,1,1248
Sunny,Theater,890,570,402,283,8,3017
Sunny,Convention Center,140,649,52,448,3,1616
Partly Cloudy,Stadium,886,610,786,880,4,31196
Extreme Heat,Arena,917,703,312,300,9,3296
Rain,Arena,117,242,280,67,4,1735
Clear,Park,276,830,725,6,10,32890
Sunny,Theater,725,560,30,816,5,2260
Clear,Arena,219,959,336,136,7,23435
Clear,Theater,904,31,182,163,4,1845
Clear,Arena,25,390,22,82,1,4036
Partly Cloudy,Convention Center,520,276,543,896,9,3297
Sunny,Stadium,782,531,445,649,4,24129
Clear,Arena,9,153,73,419,9,12547
Rain,Theater,983,382,9,72,6,2347
Storm,Convention Center,377,67,483,236,1,1139
Clear,Arena,632,877,455,45,3,17853
Partly Cloudy,Park,636,883,565,617,2,20161
Sunny,Stadium,681,213,563,927,9,38860
Partly Cloudy,Arena,583,654,659,799,1,16765
Clear,Convention Center,151,375,159,261,9,2895
Sunny,Park,719,743,881,175,9,40898
Storm,Convention Center,48,212,13,165,8,2526
Clear,Convention Center,153,78,177,656,8,2706
Partly Cloudy,Park,858,725,411,841,1,17584
Extreme Heat,Convention Center,292,627,877,369,8,3023
Rain,Park,579,603,52,794,10,3481
Partly Cloudy,Arena,49,781,407,53,3,11965
Sunny,Park,663,922,846,689,7,42354
Clear,Park,530,380,21,418,1,8891
Rain,Stadium,611,679,29,755,1,1248
Clear,Park,59,57,702,506,10,24487
Sunny,Park,166,795,259,340,5,18226
Clear,Arena,201,25,204,126,5,7654
Extreme Heat,Stadium,856,880,58,408,8,3034
Rain,Theater,145,446,470,923,7,2723
Rain,Arena,914,65,775,366,8,3010
Sunny,Arena,675,920,465,270,6,29261
Extreme Heat,Theater,969,759,11,643,6,2571
Partly Cloudy,Park,992,253,630,604,2,18602
Clear,Convention Center,438,898,926,378,6,2633
Storm,Stadium,241,967,973,72,5,2286
Clear,Convention Center,580,43,289,922,3,1708
Clear,Theater,686,96,849,921,6,2612
Partly Cloudy,Arena,560,553,759,914,8,41515
Clear,Arena,482,226,353,247,9,22494
Extreme Heat,Stadium,107,773,638,859,1,1285
Extreme Heat,Arena,225,678,74,784,3,1695
Rain,Arena,672,435,872,42,3,1739
Sunny,Stadium,630,790,715,376,8,37654
Storm,Stadium,660,600,560,40,1,1223
Clear,Theater,976,378,590,169,5,2256
Clear,Arena,661,177,440,945,3,19606
Partly Cloudy,Arena,431,426,990,211,2,15647
Sunny,Theater,804,914,240,492,8,3105
Extreme Heat,Park,654,708,860,679,3,1887
Storm,Park,418,306,153,38,7,2441
Rain,Park,987,778,785,368,1,1350
Extreme Heat,Theater,454,503,95,756,6,2433
Sunny,Arena,159,267,725,150,3,12055
Rain,Theater,522,585,293,110,8,2834
Partly Cloudy,Theater,649,7,208,479,6,2322
Partly Cloudy,Park,968,919,342,435,2,19901
Clear,Convention Center,589,507,87,46,6,2294
Sunny,Arena,76,475,817,574,7,27193
Storm,Park,508,296,775,736,5,2300
Rain,Convention Center,440,163,936,365,3,1719
Extreme Heat,Convention Center,253,484,389,68,4,1829
Sunny,Stadium,920,596,324,298,4,21611
Sunny,Arena,769,71,939,943,6,33847
Partly Cloudy,Convention Center,319,566,888,801,10,3664
Clear,Park,802,904,831,295,1,17567
Clear,Stadium,262,558,156,202,4,12626
Rain,Arena,596,910,667,60,10,3550
Partly Cloudy,Theater,657,943,650,945,4,2213
Sunny,Park,834,237,632,962,10,46452
Storm,Convention Center,553,103,576,829,1,1247
Partly Cloudy,Convention Center,373,209,618,313,9,3072
Rain,Park,636,553,658,160,4,1985
Rain,Convention Center,166,827,136,330,7,2585
Partly Cloudy,Stadium,936,467,922,527,3,24757
Rain,Arena,752,453,673,337,10,3544
Partly Cloudy,Stadium,458,267,427,605,3,15789
Extreme Heat,Convention Center,998,385,451,303,8,3015
Partly Cloudy,Theater,279,774,611,502,8,3023
Partly Cloudy,Arena,699,847,849,649,1,18807
Rain,Arena,301,386,910,337,10,3449
Rain,Park,530,876,818,549,2,1599
Clear,Park,579,258,140,638,8,25074
Clear,Theater,217,282,82,274,1,1102
Extreme Heat,Arena,101,625,176,163,8,2706
Clear,Theater,553,874,197,442,8,2995
Partly Cloudy,Park,287,39,623,318,2,10094
Rain,Park,166,485,567,588,4,1946
Clear,Arena,620,928,971,503,6,37357
Clear,Stadium,35,219,690,685,9,27377
Extreme Heat,Convention Center,743,128,420,386,8,2882
Sunny,Park,740,519,400,969,8,39297
Extreme Heat,Park,352,612,697,869,7,2867
Partly Cloudy,Stadium,675,927,470,832,9,46769
Rain,Stadium,898,891,217,887,2,1616
Extreme Heat,Theater,72,687,924,602,3,1783
Clear,Theater,647,618,928,749,10,3788
Rain,Convention Center,352,612,827,775,8,3139
Rain,Convention Center,890,259,986,690,6,2678
Clear,Arena,69,989,728,493,10,40130
Extreme Heat,Theater,424,965,631,489,9,3382
Clear,Park,998,365,950,720,10,52480
Sunny,Theater,707,757,905,72,4,2068
Rain,Park,780,786,174,508,8,3047
Storm,Stadium,560,543,22,389,10,3308
Storm,Theater,827,648,724,618,3,1873
Partly Cloudy,Stadium,641,523,916,856,3,25445
Clear,Convention Center,955,906,234,294,8,3088
Clear,Convention Center,516,813,12,368,5,2169
Partly Cloudy,Arena,427,886,100,955,3,20793
Partly Cloudy,Theater,538,15,928,795,10,3564
Partly Cloudy,Stadium,159,128,535,864,1,10863
Rain,Park,148,574,875,693,3,1784
Sunny,Convention Center,775,108,522,548,9,3209
Clear,Convention Center,229,886,784,648,5,2350
Rain,Park,711,532,451,849,10,3654
Partly Cloudy,Stadium,561,669,430,567,2,16833
Clear,Stadium,66,268,792,186,7,19085
Rain,Theater,811,161,605,852,2,1549
Sunny,Theater,380,259,712,769,4,2007
Rain,Arena,57,923,532,444,7,2716
Sunny,Convention Center,258,101,851,569,4,1941
Partly Cloudy,Theater,341,505,978,362,7,2777
Sunny,Stadium,837,734,722,122,7,33281
Clear,Park,129,570,651,187,1,9991
Partly Cloudy,Stadium,726,246,292,741,6,25458
Clear,Convention Center,171,639,809,679,9,3316
Storm,Stadium,769,794,912,419,2,1616
Extreme Heat,Arena,613,836,100,625,3,1765
Sunny,Convention Center,208,536,501,251,10,3302
Extreme Heat,Park,802,130,303,618,5,2200
Extreme Heat,Arena,353,352,870,548,9,3262
Sunny,Convention Center,470,195,539,334,4,1895
Partly Cloudy,Park,797,792,552,91,1,14057
Storm,Arena,115,915,354,529,4,1967
Clear,Arena,263,929,302,865,6,29600
Rain,Convention Center,661,665,495,62,5,2206
Clear,Theater,811,381,657,661,1,1301
Rain,Arena,441,644,767,511,4,2053
Clear,Arena,547,226,973,138,6,24042
Sunny,Park,452,700,226,697,10,36788
Storm,Stadium,844,475,235,184,10,3383
Rain,Convention Center,476,476,872,204,4,1989
Partly Cloudy,Convention Center,286,264,891,771,9,3290
Clear,Theater,302,371,454,213,5,2089
Clear,Theater,310,485,12,255,8,2705
Rain,Convention Center,207,433,209,134,9,2906
Partly Cloudy,Theater,617,645,740,572,10,3664
Partly Cloudy,Park,445,210,396,874,5,22070
Sunny,Convention Center,669,571,99,821,6,2518
Sunny,Theater,632,939,30,87,1,1202
Sunny,Convention Center,54,376,897,835,7,2770
Sunny,Stadium,911,394,527,987,4,27985
Sunny,Arena,11,449,648,206,2,10424
Sunny,Convention Center,656,942,328,128,5,2243
Storm,Arena,399,363,165,822,3,1693
Partly Cloudy,Theater,907,875,458,2,6,2538
Sunny,Arena,647,456,821,973,8,43073
Partly Cloudy,Convention Center,979,724,951,933,7,3146
Partly Cloudy,Stadium,514,727,981,753,3,25765
Extreme Heat,Theater,655,225,992,120,8,2973
Storm,Convention Center,541,981,99,384,2,1488
Sunny,Theater,236,130,620,613,10,3337
Clear,Park,278,587,854,37,9,29308
Rain,Arena,347,475,172,340,4,1856
Clear,Park,626,797,748,924,1,19105
Storm,Convention Center,103,985,161,644,8,2945
Rain,Stadium,629,276,904,713,7,2865
Storm,Theater,516,155,727,859,5,2287
Partly Cloudy,Arena,979,759,775,20,10,44290
Rain,Theater,871,217,262,241,5,2143
Partly Cloudy,Convention Center,247,189,803,454,7,2646
Clear,Theater,363,416,273,962,5,2235
Clear,Arena,320,980,2,620,8,29384
Rain,Convention Center,632,674,27,302,6,2392
Rain,Theater,285,691,325,595,5,2209
Sunny,Stadium,148,545,939,594,9,36457
Storm,Convention Center,83,40,148,802,2,1354
Sunny,Convention Center,965,306,539,963,1,1332
Storm,Stadium,405,942,487,68,8,2947
Sunny,Park,977,337,821,128,3,19933
Partly Cloudy,Arena,455,313,437,195,7,20218
Rain,Park,742,74,64,139,10,3142
Clear,Theater,799,952,355,443,8,3134
Storm,Stadium,160,278,532,282,6,2300
Storm,Park,783,175,251,311,10,3310
Clear,Convention Center,459,895,234,745,9,3327
Sunny,Theater,549,661,226,534,7,2720
Storm,Theater,499,272,524,664,10,3458
Partly Cloudy,Park,737,836,312,276,5,24555
Rain,Park,508,619,48,60,8,2755
Clear,Stadium,653,650,117,318,2,13400
Rain,Arena,803,861,53,889,7,2887
Storm,Park,480,782,649,51,4,1976
Storm,Park,662,858,564,855,9,3516
Clear,Convention Center,113,930,43,152,1,1148
Partly Cloudy,Theater,748,288,814,748,7,2885
Extreme Heat,Arena,577,723,52,310,6,2398
Clear,Convention Center,360,892,585,813,8,3163
Extreme Heat,Stadium,340,271,557,543,5,2169
Sunny,Stadium,769,929,524,566,1,17309
Extreme Heat,Park,986,65,676,863,1,1310
Partly Cloudy,Park,760,482,101,388,9,28928
Sunny,Stadium,968,935,791,547,10,55887
Extreme Heat,Park,448,247,769,621,6,2500
Sunny,Arena,842,155,981,176,10,38082
Extreme Heat,Park,834,46,848,361,5,2251
Partly Cloudy,Theater,179,934,867,313,1,1275
Extreme Heat,Park,701,453,397,806,6,2565
Extreme Heat,Convention Center,406,200,137,847,6,2381
Extreme Heat,Arena,665,659,674,96,3,1751
Clear,Convention Center,195,123,920,880,8,3009
Clear,Convention Center,465,0,386,212,1,1127
Clear,Theater,310,967,110,828,1,1265
Partly Cloudy,Arena,261,758,613,136,6,22685
Sunny,Arena,418,854,16,5,10,23979
Storm,Arena,405,639,779,108,1,1231
Extreme Heat,Arena,938,190,181,546,6,2445
Extreme Heat,Arena,142,578,883,38,1,1196
Partly Cloudy,Theater,341,515,535,661,6,2492
Extreme Heat,Park,315,441,540,424,3,1688
Clear,Convention Center,100,920,170,629,8,2923
Storm,Arena,243,814,408,260,6,2414
Rain,Park,489,805,739,425,1,1294
Extreme Heat,Park,11,142,377,86,5,1933
Clear,Convention Center,238,190,187,464,8,2710
Rain,Theater,560,532,857,75,3,1740
Storm,Stadium,41,226,229,470,6,2231
Rain,Stadium,677,312,832,975,5,2403
Clear,Park,593,628,851,962,6,37497
Sunny,Convention Center,428,948,118,413,10,3440
Sunny,Stadium,802,301,155,824,1,13179
Rain,Park,157,653,783,894,7,2856
Partly Cloudy,Theater,215,995,686,725,9,3417
Rain,Stadium,669,459,464,456,2,1494
Extreme Heat,Park,461,400,103,284,10,3219
Extreme Heat,Park,133,550,603,238,5,2129
Sunny,Arena,66,392,697,676,10,32791
Partly Cloudy,Theater,847,866,971,598,4,2230
Clear,Arena,6,763,794,652,6,27915
Extreme Heat,Convention Center,947,844,501,671,6,2711
Sunny,Arena,525,206,692,557,2,15099
Storm,Arena,72,209,681,371,2,1391
Sunny,Stadium,398,114,698,494,4,17549
Extreme Heat,Park,404,736,174,623,1,1232
Extreme Heat,Theater,674,645,733,918,9,3526
Sunny,Arena,577,250,744,44,7,22985
Clear,Theater,858,218,673,400,7,2767
Rain,Arena,129,406,420,246,3,1601
Extreme Heat,Convention Center,930,442,133,615,3,1756
Sunny,Arena,465,602,390,596,1,13010
Sunny,Stadium,205,353,991,449,3,17763
Partly Cloudy,Park,787,887,735,484,3,25093
Rain,Convention Center,977,557,500,645,4,2114
Storm,Arena,767,549,664,619,4,2099
Clear,Theater,265,141,32,17,3,1476
Storm,Convention Center,536,611,54,605,10,3406
Rain,Convention Center,961,500,953,661,8,3285
Rain,Arena,792,839,518,757,8,3236
Rain,Convention Center,252,701,755,288,1,1239
Storm,Theater,821,546,824,413,7,2887
Rain,Convention Center,288,658,637,720,2,1531
Sunny,Theater,163,541,11,637,1,1162
Storm,Arena,94,845,527,234,3,1685
Rain,Park,781,506,719,415,4,2064
Sunny,Convention Center,832,595,554,937,6,2700
Partly Cloudy,Park,109,880,372,498,10,33250
Rain,Theater,335,280,483,973,5,2247
Storm,Convention Center,821,423,972,633,4,2147
Extreme Heat,Stadium,237,855,646,649,8,3087
Rain,Park,380,269,227,114,4,1790
Extreme Heat,Convention Center,435,153,622,931,10,3519
Sunny,Park,898,613,306,673,2,18679
Partly Cloudy,Convention Center,482,726,456,712,3,1799
Clear,Arena,936,661,159,233,6,25271
Partly Cloudy,Park,901,943,330,539,8,40490
Rain,Stadium,24,82,775,10,8,2656
Extreme Heat,Stadium,652,621,224,205,9,3131
Extreme Heat,Theater,116,946,982,678,7,2918
Storm,Convention Center,481,898,728,246,2,1538
Extreme Heat,Park,391,425,503,558,8,2940
Storm,Theater,916,274,455,757,7,2834
Sunny,Park,993,712,44,126,8,28725
Clear,Convention Center,963,283,213,146,3,1669
Rain,Stadium,536,979,58,117,7,2646
Storm,Arena,78,172,643,910,10,3405
Clear,Stadium,579,326,615,381,9,31514
Extreme Heat,Theater,172,717,194,411,3,1650
Extreme Heat,Arena,955,62,924,663,10,3674
Clear,Theater,11,72,488,583,6,2276
Extreme Heat,Convention Center,799,762,156,362,2,1499
Sunny,Arena,127,635,609,508,2,14390
Sunny,Theater,607,374,225,136,5,2089
Clear,Convention Center,91,632,411,174,5,2082
Storm,Stadium,652,507,204,288,7,2635
Storm,Convention Center,542,786,78,957,2,1540
Clear,Park,845,942,123,480,7,32959
Storm,Convention Center,531,397,470,18,5,2105
Storm,Convention Center,657,119,939,194,6,2458
Sunny,Park,988,933,217,329,8,37036
Storm,Theater,827,436,515,935,10,3711
Partly Cloudy,Theater,446,828,601,174,4,1993
Rain,Convention Center,389,675,103,448,7,2626
Extreme Heat,Park,671,935,392,924,6,2701
Partly Cloudy,Park,860,464,630,945,10,50285
Storm,Stadium,42,285,644,353,2,1390
Sunny,Theater,253,264,823,498,8,2929
Clear,Arena,129,319,607,140,10,22374
Storm,Theater,59,672,979,757,9,3369
Sunny,Theater,662,375,433,896,5,2311
Rain,Stadium,466,819,330,929,10,3654
Storm,Arena,286,88,142,92,4,1716
Clear,Stadium,516,653,799,943,6,36058
Sunny,Arena,466,202,539,238,8,22687
Sunny,Convention Center,929,820,277,204,3,1774
Sunny,Arena,777,738,232,559,10,40572
Rain,Stadium,344,954,528,432,1,1270
Storm,Theater,641,333,570,244,4,1943
Rain,Arena,381,221,89,831,4,1892
Extreme Heat,Arena,778,40,491,316,1,1195
Extreme Heat,Park,689,707,198,924,9,3385
Storm,Theater,252,67,361,294,3,1563
Rain,Convention Center,926,987,440,639,5,2446
Clear,Stadium,55,775,25,855,6,22007
Sunny,Convention Center,462,513,24,281,8,2768
Sunny,Theater,456,872,393,16,6,2416
Storm,Arena,982,636,506,70,3,1768
Extreme Heat,Arena,82,621,300,268,6,2305
Extreme Heat,Theater,904,597,338,324,1,1259
Sunny,Arena,98,936,266,793,4,21190
Storm,Arena,148,631,460,304,6,2370
Rain,Arena,328,126,692,450,7,2621
Extreme Heat,Stadium,155,254,455,6,10,3092
Rain,Stadium,189,694,359,313,3,1661
Extreme Heat,Park,493,15,67,816,9,3033
Extreme Heat,Convention Center,882,476,862,102,7,2813
Partly Cloudy,Theater,262,61,411,820,1,1186
Extreme Heat,Theater,79,880,970,192,2,1505
Clear,Theater,399,431,490,752,1,1248
Storm,Park,763,669,832,573,9,3485
Storm,Stadium,608,267,48,528,9,3052
Rain,Park,259,34,686,170,7,2503
Extreme Heat,Theater,771,778,563,536,10,3689
Clear,Convention Center,614,575,101,250,3,1658
Rain,Arena,551,493,215,764,5,2236
Partly Cloudy,Stadium,784,561,437,386,4,21892
Rain,Stadium,100,468,699,206,7,2588
Rain,Park,358,766,568,540,9,3296
Extreme Heat,Stadium,379,660,558,628,2,1520
Partly Cloudy,Theater,819,324,158,415,8,2894
Rain,Theater,220,303,488,793,9,3162
Clear,Park,819,275,685,379,10,38148
Clear,Theater,419,868,241,143,10,3361
Storm,Convention Center,123,962,793,24,9,3193
Partly Cloudy,Park,421,683,752,821,10,46649
Partly Cloudy,Convention Center,230,928,881,667,7,2914
Storm,Arena,689,200,4,72,9,2901
Rain,Convention Center,62,444,595,631,9,3140
Partly Cloudy,Arena,484,904,819,823,3,26215
Clear,Arena,627,323,360,832,4,21649
Clear,Convention Center,702,34,458,92,2,1385
Extreme Heat,Park,573,976,247,504,10,3572
Partly Cloudy,Theater,767,481,565,597,3,1804
Rain,Theater,482,727,672,335,5,2278
Storm,Arena,518,479,945,424,5,2311
Storm,Arena,154,64,421,498,6,2272
Rain,Park,91,7,922,363,7,2565
Sunny,Stadium,981,300,737,946,7,40346
Extreme Heat,Convention Center,525,342,14,629,1,1181
Storm,Arena,454,430,735,744,2,1540
Partly Cloudy,Theater,740,423,572,198,9,3203
Extreme Heat,Park,597,331,121,717,10,3393
Partly Cloudy,Convention Center,644,437,276,412,2,1454
Clear,Park,509,587,557,338,6,25294
Extreme Heat,Convention Center,182,173,452,658,1,1175
Storm,Convention Center,385,558,389,961,3,1785
Extreme Heat,Arena,573,526,293,936,2,1535
Extreme Heat,Park,730,872,573,428,3,1837
Extreme Heat,Park,404,658,597,782,5,2327
Sunny,Theater,245,25,445,898,10,3341
Extreme Heat,Theater,741,819,209,138,6,2457
Partly Cloudy,Arena,590,604,589,692,9,40244
Clear,Arena,660,405,713,941,10,47337
Rain,Stadium,649,231,301,541,4,1930
Extreme Heat,Theater,470,532,908,56,7,2719
Storm,Convention Center,825,818,222,231,6,2503
Extreme Heat,Park,887,549,733,657,2,1606
Storm,Arena,422,787,2,434,10,3352
Partly Cloudy,Park,900,504,989,383,8,41375
Storm,Park,64,668,517,559,7,2677
Rain,Stadium,12,178,92,193,7,2325
Clear,Theater,212,131,519,735,8,2859
Storm,Arena,985,822,427,647,1,1345
Storm,Park,241,454,492,533,1,1206
Clear,Arena,492,347,234,517,8,24723
Rain,Convention Center,212,539,619,715,4,2000
Extreme Heat,Stadium,692,771,160,750,5,2312
Storm,Convention Center,337,405,720,184,8,2874
Clear,Arena,996,75,751,871,5,30157
Partly Cloudy,Arena,172,940,330,291,10,31186
Clear,Theater,671,578,332,334,4,1967
Partly Cloudy,Park,163,853,49,731,6,23013
Rain,Park,464,491,522,115,5,2143
Extreme Heat,Convention Center,994,193,862,824,7,2958
Clear,Stadium,496,983,667,48,10,38737
Sunny,Park,699,161,491,684,7,28390
Storm,Theater,394,346,581,81,4,1869
Rain,Convention Center,702,950,680,833,5,2483
Clear,Convention Center,916,360,271,332,3,1715
Storm,Theater,307,768,579,556,4,2024
Clear,Stadium,767,583,866,334,4,25468
Partly Cloudy,Theater,182,86,251,531,3,1576
Clear,Stadium,628,933,559,959,10,53234
Sunny,Theater,793,261,695,220,5,2225
Clear,Theater,509,213,831,634,5,2272
Clear,Arena,707,664,698,745,7,38416
Sunny,Convention Center,545,721,89,732,4,2000
Rain,Theater,563,912,445,322,4,2030
Clear,Theater,623,572,331,850,9,3341
Sunny,Park,763,779,138,2,6,21679
Storm,Convention Center,593,261,356,693,4,1965
Partly Cloudy,Park,743,729,600,205,2,17184
Partly Cloudy,Convention Center,226,282,273,831,6,2386
Clear,Park,744,647,18,39,2,11364
Rain,Theater,732,466,982,58,5,2283
Rain,Theater,435,379,310,950,6,2497
Storm,Arena,924,361,869,573,4,2123
Clear,Park,421,448,885,643,3,21031
Partly Cloudy,Stadium,553,440,977,506,7,34066
Rain,Arena,20,92,153,571,2,1320
Clear,Park,553,620,389,883,6,30606
